ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
162	4	2	1	0.000000	26.000000	22.750000	0.000000	0.000000	0	26	0
163	2	1	1	0.000000	17.000000	17.000000	0.000000	0.000000	0	18	0
164	3	2	2	0.000000	30.000000	30.000000	0.000000	0.000000	0	34	0
165	69	1	1	0.000000	52.913043	20.594203	0.000000	0.000000	0	75	0
166	7	1	1	0.000000	47.571429	19.428571	0.000000	0.000000	0	50	0
167	7	2	2	0.000000	62.285714	29.285714	0.000000	0.000000	0	68	0
168	2	1	1	0.000000	20.500000	20.500000	0.000000	0.000000	0	24	0
169	1	2	2	0.000000	1322.000000	45.000000	0.000000	0.000000	0	799	0
170	5	2	1	0.000000	1281.000000	39.400000	0.000000	0.000000	0	828	0
171	2	1	1	0.000000	1227.500000	46.000000	0.000000	0.000000	0	786	0
172	3	2	1	0.000000	39.333333	39.333333	0.000000	0.000000	0	29	0
173	3	1	1	0.000000	30.000000	30.000000	0.000000	0.000000	0	20	0
174	1	1	1	0.000000	57.000000	57.000000	0.000000	0.000000	0	27	0
175	103	1	1	0.000000	60.184466	38.776699	0.000000	0.000000	0	163	0
176	1	1	1	0.000000	1450.000000	12.000000	0.000000	0.000000	0	1148	0
177	1	5	4	0.000000	1810.000000	13.000000	0.000000	0.000000	0	1389	0
178	6	1	2	0.000000	342.666667	61.000000	0.000000	0.000000	0	348	0
179	25	2	1	0.000000	102.760000	41.240000	0.000000	0.000000	0	137	0
180	2	5	1	0.000000	1980.000000	572.500000	0.000000	0.000000	0	1047	0
181	0	2	1	Inf	Inf	Inf	Inf	Inf	0	909	0
182	0	1	2	Inf	Inf	Inf	Inf	Inf	0	880	0
183	0	4	3	Inf	Inf	Inf	Inf	Inf	0	893	0
184	0	2	1	Inf	Inf	Inf	Inf	Inf	0	745	0
185	0	4	1	Inf	Inf	Inf	Inf	Inf	0	715	0
186	0	3	2	Inf	Inf	Inf	Inf	Inf	0	556	0
187	0	4	2	Inf	Inf	Inf	Inf	Inf	0	466	0
188	0	2	1	Inf	Inf	Inf	Inf	Inf	0	359	0
189	0	2	1	Inf	Inf	Inf	Inf	Inf	0	301	0
190	0	2	2	Inf	Inf	Inf	Inf	Inf	0	329	0
191	3	2	2	0.000000	245.666667	41.000000	0.000000	0.000000	0	365	0
192	1	2	1	0.000000	263.000000	113.000000	0.000000	0.000000	0	259	0
193	1	2	1	0.000000	209.000000	88.000000	0.000000	0.000000	0	205	0
194	1	2	2	0.000000	165.000000	115.000000	0.000000	0.000000	0	164	0
195	7	2	1	0.000000	141.000000	77.857143	0.000000	0.000000	0	151	0
196	23	1	1	0.000000	94.478261	28.000000	0.000000	0.000000	0	131	0
197	22	1	1	0.000000	136.954545	64.045455	0.000000	0.000000	0	142	0
198	2	1	1	0.000000	106.000000	101.500000	0.000000	0.000000	0	107	0
199	1	1	2	0.000000	124.000000	101.000000	0.000000	0.000000	0	122	0
200	4	1	2	0.000000	178.250000	146.750000	0.000000	0.000000	0	178	0
201	3	2	2	0.000000	263.333333	141.333333	0.000000	0.000000	0	257	0
202	11	2	1	0.000000	150.454545	36.636364	0.000000	0.000000	0	164	0
203	73	1	0	0.000000	40.301370	17.178082	0.000000	0.000000	0	88	0
204	10	2	1	0.000000	42.500000	42.500000	0.000000	0.000000	0	51	0
205	17	1	1	0.000000	18.058824	15.941176	0.000000	0.000000	0	24	0
206	8	1	2	0.000000	38.000000	17.875000	0.000000	0.000000	0	36	0
207	47	1	2	0.000000	40.191489	15.425532	0.000000	0.000000	0	71	0
208	42	1	1	0.000000	12.380952	5.761905	0.000000	0.000000	0	33	0
209	13	2	1	0.000000	47.769231	32.230769	0.000000	0.000000	0	49	0
210	37	1	1	0.000000	37.675676	23.000000	0.000000	0.000000	0	33	0
211	12	1	2	0.000000	40.500000	31.083333	0.000000	0.000000	0	39	0
212	6	1	1	0.000000	39.833333	36.833333	0.000000	0.000000	0	51	0
213	5	2	1	0.000000	64.600000	62.600000	0.000000	0.000000	0	44	0
214	48	1	1	0.000000	17.437500	15.354167	0.000000	0.000000	0	27	0
215	55	1	1	0.000000	26.490909	21.727273	0.000000	0.000000	0	27	0
216	0	1	3	Inf	Inf	Inf	Inf	Inf	0	942	0
217	0	1	5	Inf	Inf	Inf	Inf	Inf	0	1161	0
218	3	1	1	0.000000	11.000000	11.000000	0.000000	0.000000	0	11	0
219	10	2	2	0.000000	65.700000	65.700000	0.000000	0.000000	0	71	0
220	2	1	2	0.000000	392.500000	23.000000	0.000000	0.000000	0	386	0
221	5	1	3	0.000000	2255.600000	11.400000	0.000000	0.000000	0	2257	0
222	2	1	1	0.000000	33.500000	33.500000	0.000000	0.000000	0	34	0
223	19	1	1	0.000000	28.263158	17.473684	0.000000	0.000000	0	37	0
224	44	1	1	0.000000	15.522727	9.000000	0.000000	0.000000	0	29	0
225	1	1	2	0.000000	26.000000	21.000000	0.000000	0.000000	0	20	0
226	12	2	2	0.000000	48.500000	39.166667	0.000000	0.000000	0	53	0
227	1	1	1	0.000000	20.000000	17.000000	0.000000	0.000000	0	18	0
228	28	1	1	0.000000	21.357143	12.178571	0.000000	0.000000	0	21	0
229	1	4	2	0.000000	1382.000000	15.000000	0.000000	0.000000	0	857	0
230	1	1	1	0.000000	1377.000000	18.000000	0.000000	0.000000	0	791	0
231	1	5	3	0.000000	1700.000000	17.000000	0.000000	0.000000	0	800	0
232	2	3	1	0.000000	1148.000000	18.000000	0.000000	0.000000	0	741	0
233	45	1	1	0.000000	20.000000	12.577778	0.000000	0.000000	0	17	0
234	8	1	1	0.000000	24.000000	24.000000	0.000000	0.000000	0	17	0
235	972	0	0	0.000000	28.388889	22.154321	0.000000	0.000000	0	98	0
236	890	0	0	0.000000	20.913483	19.542697	0.000000	0.000000	0	61	0
237	2	2	2	0.000000	150.000000	57.000000	0.000000	0.000000	0	136	0
238	2	1	1	0.000000	308.000000	182.500000	0.000000	0.000000	0	215	0
239	6	1	2	0.000000	239.666667	106.333333	0.000000	0.000000	0	234	0
240	5	1	1	0.000000	18.200000	18.200000	0.000000	0.000000	0	23	0
241	18	2	1	0.000000	126.000000	47.722222	0.000000	0.000000	0	133	0
242	11	2	1	0.000000	98.727273	47.909091	0.000000	0.000000	0	97	0
243	49	1	1	0.000000	75.836735	26.040816	0.000000	0.000000	0	86	0
